from,to,relation
APP_CON067,ACT752,relevant
APP_CON067,APP_CON068,contain
APP_CON068,APP_CON067,isContained
APP_CON075,ACT060,relevant
APP_CON075,STR_COM189,relevant
APP_CON076,FUN027,relevant
APP_CON078,STR_COM204,relevant
APP_CON079,STR_COM209,relevant
APP_CON080,STR_COM202,relevant
APP_CON081,APP_CON571,relevant
APP_CON081,STR_COM1180,relevant
APP_CON081,STR_COM212,relevant
APP_CON082,STR_COM212,relevant
APP_CON083,FUN747,relevant
APP_CON083,STR_COM1176,influence
APP_CON083,STR_COM214,relevant
APP_CON084,STR_COM215,relevant
APP_CON087,APP_CON1198,relevant
APP_CON087,APP_CON1282,relevant
APP_CON087,STR_COM239,relevant
APP_CON087,STR_COM554,relevant
APP_CON093,APP_CON1073,relevant
APP_CON093,APP_CON1078,relevant
APP_CON093,APP_CON1079,relevant
APP_CON093,FUN1079,relevant
APP_CON093,FUN1889,relevant
APP_CON093,FUN2164,relevant
APP_CON093,FUN2165,contain
APP_CON093,STR_COM2293,relevant
APP_CON093,STR_COM2860,relevant
APP_CON093,VALUE203,relevant
APP_CON098,ACT073,relevant
APP_CON099,ACT072,relevant
APP_CON1039,STR_COM2045,relevant
APP_CON1041,FUN1270,relevant
APP_CON1043,APP_CON1044,relevant
APP_CON1043,STR_COM2053,relevant
APP_CON1043,VALUE590,relevant
APP_CON1044,APP_CON1043,relevant
APP_CON1046,APP_CON1047,relevant
APP_CON1046,FUN1273,undo
APP_CON1047,ACT665,relevant
APP_CON1047,APP_CON1046,relevant
APP_CON1047,IDEN1488,relevant
APP_CON1047,STR_COM2054,relevant
APP_CON1048,STR_COM2055,isReliedOn
APP_CON1048,VALUE590,relevant
APP_CON1049,STR_COM2056,relevant
APP_CON105,APP_CON761,relevant
APP_CON1056,FUN1610,relevant
APP_CON1056,FUN1817,relevant
APP_CON1056,FUN187,relevant
APP_CON1059,FUN478,relevant
APP_CON1059,FUN739,relevant
APP_CON106,APP_CON761,relevant
APP_CON1060,FUN1396,relevant
APP_CON1061,FUN1305,relevant
APP_CON1061,FUN1317,relevant
APP_CON1061,FUN1397,relevant
APP_CON1061,FUN1397,undo
APP_CON1062,FUN027,isInfluenced
APP_CON1062,STR_COM2122,relevant
APP_CON1066,APP_CON1067,relevant
APP_CON1067,APP_CON1066,relevant
APP_CON1068,ACT116,relevant
APP_CON1068,FUN776,relevant
APP_CON1070,FUN359,relevant
APP_CON1070,FUN715,relevant
APP_CON1072,APP_CON1073,relevant
APP_CON1072,APP_CON577,relevant
APP_CON1072,STR_COM2135,relevant
APP_CON1073,APP_CON093,relevant
APP_CON1073,APP_CON1072,relevant
APP_CON1073,APP_CON577,relevant
APP_CON1073,FUN1343,relevant
APP_CON1073,STR_COM2135,relevant
APP_CON1075,FUN1344,relevant
APP_CON1075,FUN1345,relevant
APP_CON1075,FUN1346,relevant
APP_CON1075,FUN1347,relevant
APP_CON1075,FUN1348,relevant
APP_CON1075,FUN1349,relevant
APP_CON1075,FUN1350,relevant
APP_CON1075,FUN1351,relevant
APP_CON1075,FUN1352,relevant
APP_CON1075,FUN1353,relevant
APP_CON1075,FUN1354,relevant
APP_CON1075,FUN1355,relevant
APP_CON1075,FUN1356,relevant
APP_CON1075,FUN1357,relevant
APP_CON1075,FUN1358,relevant
APP_CON1075,FUN1359,relevant
APP_CON1075,FUN1360,relevant
APP_CON1075,FUN1361,relevant
APP_CON1075,FUN1362,relevant
APP_CON1075,FUN1363,relevant
APP_CON1075,FUN1366,relevant
APP_CON1075,FUN1370,relevant
APP_CON1075,STR_COM2974,isInfluenced
APP_CON1077,STR_COM2159,relevant
APP_CON1078,ACT058,relevant
APP_CON1078,APP_CON093,relevant
APP_CON1078,APP_CON1079,relevant
APP_CON1078,FUN915,relevant
APP_CON1078,STR_COM182,relevant
APP_CON1079,ACT058,relevant
APP_CON1079,APP_CON017,relevant
APP_CON1079,APP_CON093,relevant
APP_CON1079,APP_CON1078,relevant
APP_CON1079,APP_CON1079,relevant
APP_CON1079,FUN026,relevant
APP_CON1079,FUN030,relevant
APP_CON1079,FUN1336,relevant
APP_CON1079,FUN1365,relevant
APP_CON1079,FUN2387,relevant
APP_CON1079,FUN2426,relevant
APP_CON1079,STR_COM182,relevant
APP_CON108,FUN1164,relevant
APP_CON108,FUN158,relevant
APP_CON108,FUN373,relevant
APP_CON1080,APP_CON055,relevant
APP_CON1080,IDEN926,relevant
APP_CON1080,STR_COM165,relevant
APP_CON1080,STR_COM167,relevant
APP_CON1080,VALUE062,relevant
APP_CON1081,APP_CON055,relevant
APP_CON1081,FUN100,influence
